,title,salary,jobtype,description,location
176,Data Scientist - Severe Weather,,,2 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,"Charlotte, NC 28202 (Downtown Charlotte area)"
177,Mathematical Statistician,"$64,649 - $166,502 a year",Remote,"Experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches and…","Anchorage, AK•Remote"
178,"Applied Science Manager, AWS Health AI",,,"PhD degree in a quantitative field (computer science, electrical engineering, mathematics, physics, or similar).Fluency in written and spoken English.","Seattle, WA"
179,Lead Data Scientist (NLP Specialist),,,"Hands-on experience with data science platforms, e.g., H2O, Databricks, Domino Data etc. is a plus.Managing and leading a team of data scientists will be a…","Birmingham, AL"
180,Analyst Behavioral Science & Analytics,,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",United States
181,"Computational Scientist, Machine Learning",,,"Ph.D. in computational biology, chemical engineering, computer science, physical or biological sciences, machine learning, or related discipline.","Cambridge, MA"
182,"Data Scientist, Messaging",,,Perform analysis on large sets of data to extract impactful insights that will help drive product decisions.Possess statistical competence (such as regression…,"New York, NY"
183,"Data Scientist, Productivity Engineering Insights",,Remote,"Collaborate closely with engineers, data scientists and team leads across the mission to build and promote shared methods to take data advised decisions.","New York, NY•Remote"
184,Applied Research Scientist I_Clinical Science,,,Has a strong quantitative science background.Develop novel analytics for visualizing and interpreting single-cell omics data.,"Tampa, FL 33612"
185,"Data Engineer, Analytics (Integrator)",,Remote,"Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights visually in a meaningful way.",Remote+3 locations•Remote
186,"Data Analyst, Quality Systems & Data Science",,,Acquire data from primary or secondary data sources and maintain databases/data systems to empower operational and exploratory analysis.,"Fremont, CA"
187,Associate Data Scientist,,,This is a great opportunity for fresh MS and PhD graduates who want to start their career in data science.Experience in data manipulation and cleaning.,"Birmingham, AL"
188,"Data Scientist, Analytics - Instagram Notification Systems",,Remote,"Additionally, the person would work with cross-functional partners and other data scientists across Instagram and Facebook, communicating findings and…",Remote+1 location•Remote
189,Data Collection and Labeling Technician - Entry Level Data S...,,,Create data annotation polygons using custom image marking tools.Current or prior experience working with external USB drives and transferring data.,"Tewksbury, MA 01876"
190,Data Scientist,,,Develop data modeling and data driven solutions based on business requirements.Define data quality gaps and make recommendations.,"Richfield, MN+4 locations"
191,Lecturer of Data Science,,,"The ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…","Williamsburg, VA 23187"
192,Data Scientist,,Remote,Minimum of 3-years experience in the data science/machine learning field.Work with all teams within the company to identify areas where data science can…,Remote•Remote
193,VP of Product Data Science & Engineering,,,You have experience building and leading large and geographically distributed data science teams (100+).You have a deep technical background in applied data…,"Los Gatos, CA"
194,Associate Data Scientist,,Remote,1-3 years of experience in data science and advanced data analytics.Familiar with model and data pipelines.The Associate Data Scientist is responsible for the…,Remote•Remote
195,Postdoctoral Fellow,,,Broader programs of research concerned with eliminating disparities in access to and/or outcomes in health that could be enhanced through application of new…,"San Antonio, TX 78249"
196,Principal Applied Scientist,,,We are seeking a passionate and talented Principal Applied Scientist who will collaborate with other scientists and engineers to leverage machine learning…,"San Diego, CA"
197,Senior Data Scientist,,,Turn data models and algorithms into software and evaluate model effectiveness by conducting tests on large sets of historical data.,"Herndon, VA"
198,Part-Time Instructor: Data Analytics and Data Science (Onlin...,,Remote,We are seeking qualified applicants possessing current knowledge and teaching experience in all aspects of Data Analytics and Data Science including: Data…,"Irvine, CA•Remote"
199,Senior Data Scientist,,,"Transform data into actionable insights and recommendations.REST API’s to leverage disparate data sources.Processing, cleansing, and verifying the integrity…",Illinois+1 location
200,"Manager, Shopper Insights",,,"Comfortable with the ambiguous; balancing data science and data art.Leverage customer specific data to drive sound omnichannel propositions, recommendations,…",Remote
201,Lead Data Scientist - Clinical Trials,,,"5+ years of data science experience in business setting including collaborating with business partners to understand problems, gather business requirements,…","Woonsocket, RI"
202,Sports Statistician,,,Experience tracking full statistical data for basketball games.The Statistician assists in the execution of Ultimate Hoops Basketball League by tracking full…,"Frontenac, MO 63131"
203,"Director, Data Science, R&D",,,Responsible for coordinating data governance efforts for data science and scientific research.Experience with production level data science systems (3 years).,"Pittsburgh, PA"
204,"Principal, Science & Analytics",,,Apply machine learning and data mining techniques to discover patterns from complex residential property data.,"San Diego, CA 92131 (Scripps Ranch area)"
205,Sr Data Science Engineer,,,Collaborate with data scientists to analyze and select appropriate data models and algorithms that focus on improving clinical trials across multiple…,"Thousand Oaks, CA"
